ThreadID,CallerID,Timestamp,ScheduledEvictionSize,CacheSize
53,LRUCacheScheduler,7245483583210,56000063,320008369
43,LRUCacheScheduler,7245486225495,64000072,328008378
43,LRUCacheScheduler,7245486275144,64000072,320008369
41,LRUCacheScheduler,7245499364392,64000072,320008369
41,LRUCacheScheduler,7245511577586,48000054,328008378
41,LRUCacheScheduler,7245511706559,48000054,320008369
44,LRUCacheScheduler,7245512126776,40000045,320008369
48,LRUCacheScheduler,7245515808016,32000036,320008369
44,LRUCacheScheduler,7245518673362,40000045,328008378
44,LRUCacheScheduler,7245518720359,40000045,320008369
48,LRUCacheScheduler,7245527813693,48000054,328008378
48,LRUCacheScheduler,7245527885924,48000054,320008369
40,LRUCacheScheduler,7245529101990,48000054,320008369
40,LRUCacheScheduler,7245539030245,56000063,328008378
40,LRUCacheScheduler,7245539143094,56000063,320008369
46,LRUCacheScheduler,7245547558660,48000054,320008369
46,LRUCacheScheduler,7245555228023,48000054,328008378
46,LRUCacheScheduler,7245555318106,48000054,320008369
55,LRUCacheScheduler,7245585034003,32000036,320008369
42,LRUCacheScheduler,7245592688635,32000036,320008369
57,LRUCacheScheduler,7245598095834,32000036,320008369
51,LRUCacheScheduler,7245599829339,40000045,320008369
42,LRUCacheScheduler,7245600420144,40000045,320008369
42,LRUCacheScheduler,7245600479815,40000045,320008369
57,LRUCacheScheduler,7245601732938,48000054,328008378
57,LRUCacheScheduler,7245601786712,48000054,320008369
55,LRUCacheScheduler,7245602352350,56000063,328008378
55,LRUCacheScheduler,7245602444597,56000063,320008369
51,LRUCacheScheduler,7245603813716,64000072,328008378
51,LRUCacheScheduler,7245603882527,64000072,320008369
52,LRUCacheScheduler,7245633163660,40000045,320008369
54,LRUCacheScheduler,7245642102246,40000045,320008369
54,LRUCacheScheduler,7245650685766,40000045,328008378
54,LRUCacheScheduler,7245650769031,40000045,320008369
52,LRUCacheScheduler,7245650998533,48000054,328008378
52,LRUCacheScheduler,7245657158835,48000054,320008369
22,LRUCacheScheduler,7245658563308,48000054,320008369
22,LRUCacheScheduler,7245661716114,56000063,328008378
22,LRUCacheScheduler,7245661838943,56000063,320008369
47,LRUCacheScheduler,7245679024853,40000045,320008369
45,LRUCacheScheduler,7245679298291,40000045,320008369
47,LRUCacheScheduler,7245685460574,40000045,328008378
47,LRUCacheScheduler,7245685590343,40000045,320008369
45,LRUCacheScheduler,7245689096557,48000054,328008378
45,LRUCacheScheduler,7245689186557,48000054,320008369
50,LRUCacheScheduler,7245692674789,48000054,320008369
56,LRUCacheScheduler,7245701193042,48000054,320008369
50,LRUCacheScheduler,7245701781582,56000063,328008378
50,LRUCacheScheduler,7245701935199,56000063,320008369
56,LRUCacheScheduler,7245711757718,48000054,328008378
56,LRUCacheScheduler,7245711814352,48000054,320008369
41,LRUCacheScheduler,7245744587464,24000027,320008369
43,LRUCacheScheduler,7245744766941,24000027,320008369
49,LRUCacheScheduler,7245746019102,24000027,320008369
48,LRUCacheScheduler,7245747160704,24000027,320008369
43,LRUCacheScheduler,7245748792346,32000036,328008378
43,LRUCacheScheduler,7245748857297,32000036,320008369
48,LRUCacheScheduler,7245750842896,40000045,328008378
48,LRUCacheScheduler,7245750894134,40000045,320008369
41,LRUCacheScheduler,7245751211687,48000054,328008378
41,LRUCacheScheduler,7245751260897,48000054,320008369
49,LRUCacheScheduler,7245757089103,56000063,328008378
49,LRUCacheScheduler,7245757160054,56000063,320008369
